Date,Product,Region,Quantity,Unit_Price,Total_Sales,Month,Day_of_Week
2023-04-13,Tablet,North,8,152.29,1218.32,April,Thursday
2023-12-15,Tablet,North,9,1695.65,15260.85,December,Friday
2023-09-28,Laptop,North,4,1528.37,6113.48,September,Thursday
2023-04-17,Phone,North,6,534.52,3207.12,April,Monday
2023-03-13,Phone,West,9,1917.01,17253.09,March,Monday
2023-07-08,Keyboard,North,6,381.54,2289.2400000000002,July,Saturday
2023-01-21,Phone,East,9,1391.14,12520.26,January,Saturday
2023-04-13,Monitor,West,4,527.29,2109.16,April,Thursday
2023-05-02,Phone,South,8,919.62,7356.96,May,Tuesday
2023-08-03,Keyboard,South,9,1466.4,13197.6,August,Thursday
2023-11-27,Phone,East,4,1170.32,4681.28,November,Monday
2023-03-29,Monitor,East,5,912.25,4561.25,March,Wednesday
2023-04-10,Laptop,West,8,720.04,5760.32,April,Monday
2023-12-26,Keyboard,South,6,1695.35,10172.099999999999,December,Tuesday
2023-06-01,Laptop,South,7,373.25,2612.75,June,Thursday
2023-05-11,Laptop,South,3,917.2,2751.6000000000004,May,Thursday
2023-05-30,Laptop,South,7,1817.14,12719.980000000001,May,Tuesday
2023-11-05,Tablet,South,8,1707.11,13656.88,November,Sunday
2023-09-15,Tablet,North,6,861.79,5170.74,September,Friday
2023-12-10,Laptop,East,9,1549.91,13949.19,December,Sunday
2023-10-21,Keyboard,North,6,1664.01,9984.06,October,Saturday
2023-07-11,Monitor,South,9,1788.89,16100.01,July,Tuesday
2023-10-04,Monitor,West,4,1134.56,4538.24,October,Wednesday
2023-06-10,Phone,West,8,488.48,3907.84,June,Saturday
2023-11-10,Keyboard,South,4,585.09,2340.36,November,Friday
2023-01-22,Tablet,South,2,661.82,1323.64,January,Sunday
2023-09-10,Laptop,West,9,1228.22,11053.98,September,Sunday
2023-08-24,Phone,North,5,162.34,811.7,August,Thursday
2023-12-11,Monitor,North,4,1308.48,5233.92,December,Monday
2023-02-18,Tablet,South,2,792.27,1584.54,February,Saturday
2023-02-28,Tablet,North,1,660.96,660.96,February,Tuesday
2023-06-19,Laptop,West,7,1771.04,12397.279999999999,June,Monday
2023-07-07,Monitor,North,6,974.0,5844.0,July,Friday
2023-09-28,Keyboard,South,2,280.6,561.2,September,Thursday
2023-07-09,Tablet,West,8,1670.82,13366.56,July,Sunday
2023-06-24,Laptop,North,4,190.52,762.08,June,Saturday
2023-02-20,Keyboard,East,8,1480.82,11846.56,February,Monday
2023-12-30,Monitor,West,7,1570.42,10992.94,December,Saturday
2023-02-24,Tablet,West,5,769.94,3849.7000000000003,February,Friday
2023-09-01,Keyboard,East,8,1667.1,13336.8,September,Friday
2023-11-16,Keyboard,East,9,1079.75,9717.75,November,Thursday
2023-05-11,Keyboard,West,5,980.26,4901.3,May,Thursday
2023-11-03,Tablet,East,5,186.27,931.35,November,Friday
2023-05-15,Tablet,Online,2,651.06,1302.12,May,Monday
2023-01-21,Phone,South,5,1868.92,9344.6,January,Saturday
2023-11-25,Monitor,South,3,844.47,2533.41,November,Saturday
2023-06-16,Laptop,West,7,1138.73,7971.110000000001,June,Friday
2023-10-01,Keyboard,East,5,1110.84,5554.2,October,Sunday
2023-03-30,Phone,East,8,1221.82,9774.56,March,Thursday
2023-11-12,Laptop,Online,1,216.53,216.53,November,Sunday
2023-01-14,Phone,North,3,788.13,2364.39,January,Saturday
2023-08-30,Tablet,East,3,1473.94,4421.82,August,Wednesday
2023-09-22,Keyboard,East,9,481.06,4329.54,September,Friday
2023-12-12,Laptop,East,5,486.8,2434.0,December,Tuesday
2023-02-22,Laptop,West,9,119.17,1072.53,February,Wednesday
2023-12-06,Laptop,East,9,931.22,8380.98,December,Wednesday
2023-04-02,Laptop,North,1,1777.2,1777.2,April,Sunday
2023-09-21,Laptop,West,2,198.61,397.22,September,Thursday
2023-02-04,Phone,East,5,463.13,2315.65,February,Saturday
2023-07-25,Keyboard,North,4,689.16,2756.64,July,Tuesday
2023-03-22,Tablet,West,9,1490.28,13412.52,March,Wednesday
2023-02-19,Tablet,East,7,1317.21,9220.470000000001,February,Sunday
2023-12-26,Tablet,East,6,890.29,5341.74,December,Tuesday
2023-01-02,Tablet,East,7,1542.23,10795.61,January,Monday
2023-02-23,Phone,Online,1,1258.3,1258.3,February,Thursday
2023-04-16,Monitor,North,1,1802.48,1802.48,April,Sunday
2023-09-17,Keyboard,North,8,1654.25,13234.0,September,Sunday
2023-11-06,Laptop,South,2,580.35,1160.7,November,Monday
2023-07-10,Monitor,East,9,615.73,5541.57,July,Monday
2023-08-06,Tablet,South,7,338.18,2367.26,August,Sunday
2023-02-13,Monitor,South,6,740.23,4441.38,February,Monday
2023-06-11,Keyboard,North,1,1999.13,1999.13,June,Sunday
2023-07-21,Laptop,West,1,870.93,870.93,July,Friday
2023-09-27,Laptop,West,2,518.93,1037.86,September,Wednesday
2023-12-17,Keyboard,North,6,1548.72,9292.32,December,Sunday
2023-10-31,Keyboard,West,6,1130.69,6784.14,October,Tuesday
2023-09-28,Tablet,South,2,384.24,768.48,September,Thursday
2023-08-03,Laptop,East,1,823.31,823.31,August,Thursday
2023-09-09,Monitor,North,5,887.49,4437.45,September,Saturday
2023-07-09,Phone,East,5,1532.28,7661.4,July,Sunday
2023-10-23,Phone,West,2,139.28,278.56,October,Monday
2023-08-01,Keyboard,East,6,611.14,3666.84,August,Tuesday
2023-07-27,Tablet,West,9,1083.43,9750.87,July,Thursday
2023-08-25,Phone,West,2,610.81,1221.62,August,Friday
2023-12-04,Laptop,South,2,1294.02,2588.04,December,Monday
2023-02-22,Keyboard,West,3,1015.55,3046.6499999999996,February,Wednesday
2023-10-07,Monitor,South,7,787.25,5510.75,October,Saturday
2023-08-05,Keyboard,South,6,1903.5,11421.0,August,Saturday
2023-09-09,Monitor,South,8,1301.1,10408.8,September,Saturday
2023-07-07,Keyboard,North,8,346.89,2775.12,July,Friday
2023-02-10,Keyboard,North,6,1164.17,6985.02,February,Friday
2023-06-06,Keyboard,West,3,1583.39,4750.17,June,Tuesday
2023-01-15,Monitor,South,3,1446.13,4338.39,January,Sunday
2023-10-28,Monitor,North,1,426.97,426.97,October,Saturday
2023-03-06,Keyboard,South,7,1947.6,13633.199999999999,March,Monday
2023-12-11,Phone,East,5,952.75,4763.75,December,Monday
2023-11-23,Tablet,East,4,402.15,1608.6,November,Thursday
2023-01-09,Tablet,East,4,442.37,1769.48,January,Monday
2023-12-10,Tablet,West,4,286.65,1146.6,December,Sunday
2023-05-09,Monitor,South,6,1626.68,9760.08,May,Tuesday
2023-05-16,Monitor,East,8,331.86,2654.88,May,Tuesday
2023-03-04,Phone,North,8,337.74,2701.92,March,Saturday
2023-05-19,Tablet,East,5,1715.9,8579.5,May,Friday
2023-03-22,Tablet,East,6,754.75,4528.5,March,Wednesday
2023-06-12,Keyboard,East,4,158.63,634.52,June,Monday
2023-10-16,Monitor,West,9,198.6,1787.3999999999999,October,Monday
2023-09-18,Tablet,North,8,370.12,2960.96,September,Monday
2023-08-19,Phone,South,1,505.45,505.45,August,Saturday
2023-02-10,Phone,North,2,1363.78,2727.56,February,Friday
2023-01-28,Tablet,South,9,398.92,3590.28,January,Saturday
2023-05-15,Monitor,West,8,325.86,2606.88,May,Monday
2023-07-20,Phone,West,3,1552.97,4658.91,July,Thursday
2023-11-24,Keyboard,West,8,1375.01,11000.08,November,Friday
2023-09-25,Phone,West,1,927.12,927.12,September,Monday
2023-02-02,Laptop,South,4,1143.69,4574.76,February,Thursday
2023-02-17,Laptop,East,3,692.77,2078.31,February,Friday
2023-03-03,Monitor,South,6,1016.75,6100.5,March,Friday
2023-08-04,Tablet,North,7,1062.68,7438.76,August,Friday
2023-10-20,Monitor,West,4,835.75,3343.0,October,Friday
2023-04-09,Monitor,West,7,1822.49,12757.43,April,Sunday
2023-06-21,Monitor,North,9,130.52,1174.68,June,Wednesday
2023-12-26,Monitor,Online,2,1586.13,3172.26,December,Tuesday
2023-08-02,Keyboard,East,3,336.33,1008.99,August,Wednesday
2023-02-04,Keyboard,East,5,1615.34,8076.7,February,Saturday
2023-08-15,Phone,North,3,1270.23,3810.69,August,Tuesday
2023-04-11,Laptop,East,8,1702.23,13617.84,April,Tuesday
2023-05-11,Monitor,South,8,285.28,2282.24,May,Thursday
2023-09-14,Phone,South,8,1162.06,9296.48,September,Thursday
2023-01-05,Laptop,North,9,1052.07,9468.63,January,Thursday
2023-08-06,Tablet,South,4,1441.77,5767.08,August,Sunday
2023-09-12,Keyboard,West,5,1115.15,5575.75,September,Tuesday
2023-12-25,Laptop,North,5,1127.4,5637.0,December,Monday
2023-10-10,Tablet,South,8,916.23,7329.84,October,Tuesday
2023-07-26,Laptop,North,7,686.79,4807.53,July,Wednesday
2023-01-15,Keyboard,East,9,1016.3,9146.699999999999,January,Sunday
2023-12-12,Keyboard,South,8,325.14,2601.12,December,Tuesday
2023-02-11,Phone,West,2,1926.88,3853.76,February,Saturday
2023-06-28,Monitor,South,4,1457.38,5829.52,June,Wednesday
2023-03-04,Laptop,North,6,1909.69,11458.14,March,Saturday
2023-12-18,Laptop,North,2,530.78,1061.56,December,Monday
2023-08-19,Tablet,South,7,1770.75,12395.25,August,Saturday
2023-08-29,Keyboard,West,3,1636.7,4910.1,August,Tuesday
2023-02-21,Laptop,West,3,1386.59,4159.7699999999995,February,Tuesday
2023-04-06,Keyboard,West,2,1287.56,2575.12,April,Thursday
2023-08-10,Laptop,Online,8,701.44,5611.52,August,Thursday
2023-08-19,Phone,South,6,1651.18,9907.08,August,Saturday
2023-08-25,Monitor,East,1,1052.88,1052.88,August,Friday
2023-05-23,Laptop,North,1,234.69,234.69,May,Tuesday
2023-06-20,Keyboard,West,7,694.44,4861.08,June,Tuesday
2023-01-29,Phone,South,8,1877.06,15016.48,January,Sunday
2023-02-05,Laptop,West,5,1716.29,8581.45,February,Sunday
2023-01-13,Tablet,East,5,1965.62,9828.099999999999,January,Friday
2023-06-09,Monitor,West,4,1293.19,5172.76,June,Friday
2023-11-23,Laptop,West,6,570.27,3421.62,November,Thursday
2023-07-06,Phone,East,6,409.35,2456.1000000000004,July,Thursday
2023-08-31,Tablet,South,3,455.14,1365.42,August,Thursday
2023-03-27,Phone,North,9,137.61,1238.4900000000002,March,Monday
2023-10-11,Phone,South,7,842.3,5896.099999999999,October,Wednesday
2023-03-07,Tablet,East,1,463.71,463.71,March,Tuesday
2023-06-19,Phone,West,7,882.15,6175.05,June,Monday
2023-02-14,Tablet,South,5,1876.49,9382.45,February,Tuesday
2023-03-03,Laptop,North,5,918.03,4590.15,March,Friday
2023-05-14,Tablet,East,2,1768.17,3536.34,May,Sunday
2023-10-11,Tablet,South,4,1250.46,5001.84,October,Wednesday
2023-01-28,Monitor,North,6,569.55,3417.2999999999997,January,Saturday
2023-04-18,Tablet,East,7,776.12,5432.84,April,Tuesday
2023-02-13,Tablet,North,5,259.45,1297.25,February,Monday
2023-12-06,Laptop,East,9,733.58,6602.22,December,Wednesday
2023-10-13,Monitor,West,3,1387.33,4161.99,October,Friday
2023-11-27,Keyboard,South,1,237.01,237.01,November,Monday
2023-05-08,Laptop,North,4,490.26,1961.04,May,Monday
2023-12-14,Laptop,East,9,824.74,7422.66,December,Thursday
2023-08-19,Keyboard,North,4,1965.89,7863.56,August,Saturday
2023-07-09,Tablet,North,2,1591.24,3182.48,July,Sunday
2023-08-13,Phone,South,5,1493.62,7468.099999999999,August,Sunday
2023-10-10,Monitor,West,3,320.76,962.28,October,Tuesday
2023-05-01,Phone,North,9,1583.89,14255.01,May,Monday
2023-04-26,Keyboard,East,4,1592.01,6368.04,April,Wednesday
2023-08-21,Laptop,East,6,1242.1,7452.599999999999,August,Monday
2023-09-16,Laptop,West,2,1981.69,3963.38,September,Saturday
2023-12-25,Monitor,East,6,717.98,4307.88,December,Monday
2023-07-17,Laptop,West,3,1888.42,5665.26,July,Monday
2023-05-17,Laptop,East,9,1837.99,16541.91,May,Wednesday
2023-11-14,Monitor,South,2,121.81,243.62,November,Tuesday
2023-06-14,Monitor,North,9,955.22,8596.98,June,Wednesday
2023-08-13,Keyboard,South,5,1956.5,9782.5,August,Sunday
2023-11-03,Laptop,North,8,295.93,2367.44,November,Friday
2023-08-22,Laptop,North,2,1140.79,2281.58,August,Tuesday
2023-06-21,Keyboard,North,6,1960.02,11760.119999999999,June,Wednesday
2023-06-01,Tablet,South,3,1155.44,3466.32,June,Thursday
2023-11-11,Tablet,North,5,460.65,2303.25,November,Saturday
2023-06-09,Tablet,South,8,1206.15,9649.2,June,Friday
2023-04-06,Keyboard,West,1,488.44,488.44,April,Thursday
2023-08-21,Laptop,East,5,1087.44,5437.200000000001,August,Monday
2023-06-29,Keyboard,East,3,240.68,722.04,June,Thursday
2023-04-23,Keyboard,North,4,1250.42,5001.68,April,Sunday
2023-11-14,Tablet,South,2,1081.9,2163.8,November,Tuesday
2023-02-21,Phone,East,9,1506.31,13556.789999999999,February,Tuesday
2023-09-25,Laptop,South,3,1298.33,3894.99,September,Monday
2023-10-22,Tablet,South,2,1144.25,2288.5,October,Sunday
2023-04-23,Phone,North,9,1410.58,12695.22,April,Sunday
2023-04-11,Phone,East,7,373.49,2614.4300000000003,April,Tuesday
2023-04-23,Monitor,North,6,1231.18,7387.08,April,Sunday
2023-03-22,Laptop,North,1,427.01,427.01,March,Wednesday
2023-07-06,Phone,East,5,1858.49,9292.45,July,Thursday
2023-04-23,Tablet,East,3,229.83,689.49,April,Sunday
2023-01-02,Monitor,West,1,917.71,917.71,January,Monday
2023-05-10,Laptop,West,4,1422.02,5688.08,May,Wednesday
2023-08-08,Keyboard,South,2,970.24,1940.48,August,Tuesday
2023-02-23,Tablet,East,2,274.98,549.96,February,Thursday
2023-12-09,Phone,West,3,1151.42,3454.26,December,Saturday
2023-08-12,Phone,South,8,1319.1,10552.8,August,Saturday
2023-08-13,Tablet,South,8,1437.21,11497.68,August,Sunday
2023-05-06,Phone,South,7,809.19,5664.33,May,Saturday
2023-05-10,Monitor,West,6,1170.95,7025.700000000001,May,Wednesday
2023-02-22,Laptop,East,9,956.3,8606.699999999999,February,Wednesday
2023-06-21,Monitor,North,4,1376.91,5507.64,June,Wednesday
2023-08-06,Phone,South,1,1208.76,1208.76,August,Sunday
2023-06-09,Keyboard,West,8,1098.94,8791.52,June,Friday
2023-07-17,Laptop,West,7,574.1,4018.7000000000003,July,Monday
2023-09-04,Laptop,North,7,103.84,726.88,September,Monday
2023-11-20,Tablet,North,3,430.76,1292.28,November,Monday
2023-07-22,Tablet,West,4,322.43,1289.72,July,Saturday
2023-07-03,Keyboard,East,9,953.26,8579.34,July,Monday
2023-05-03,Laptop,North,6,1263.29,7579.74,May,Wednesday
2023-09-12,Keyboard,West,5,504.86,2524.3,September,Tuesday
2023-10-21,Tablet,North,3,1884.21,5652.63,October,Saturday
2023-10-07,Tablet,East,9,112.7,1014.3000000000001,October,Saturday
2023-11-21,Laptop,South,5,1567.37,7836.849999999999,November,Tuesday
2023-04-08,Monitor,North,5,1287.89,6439.450000000001,April,Saturday
2023-07-17,Phone,East,4,809.75,3239.0,July,Monday
2023-08-28,Tablet,West,4,195.93,783.72,August,Monday
2023-05-24,Tablet,North,1,1292.22,1292.22,May,Wednesday
2023-04-07,Monitor,North,7,832.67,5828.69,April,Friday
2023-07-20,Monitor,West,9,1878.91,16910.190000000002,July,Thursday
2023-05-04,Keyboard,South,3,1129.78,3389.34,May,Thursday
2023-07-06,Keyboard,West,2,1885.34,3770.68,July,Thursday
2023-11-22,Phone,North,3,518.92,1556.7599999999998,November,Wednesday
2023-12-15,Phone,West,1,1478.88,1478.88,December,Friday
2023-09-16,Laptop,East,6,1272.77,7636.62,September,Saturday
2023-05-28,Keyboard,West,7,1504.88,10534.16,May,Sunday
2023-09-09,Tablet,North,2,507.87,1015.74,September,Saturday
2023-12-12,Keyboard,West,8,1363.49,10907.92,December,Tuesday
2023-05-27,Tablet,South,6,1046.28,6277.68,May,Saturday
2023-05-28,Monitor,West,4,1511.37,6045.48,May,Sunday
2023-12-18,Keyboard,South,5,721.38,3606.9,December,Monday
2023-07-18,Monitor,East,8,1791.11,14328.88,July,Tuesday
2023-11-04,Phone,South,3,260.17,780.51,November,Saturday
2023-05-08,Phone,West,3,1633.66,4900.9800000000005,May,Monday
2023-02-08,Laptop,North,4,1736.51,6946.04,February,Wednesday
2023-12-04,Keyboard,South,1,1652.78,1652.78,December,Monday
2023-12-26,Monitor,East,9,1074.18,9667.62,December,Tuesday
2023-05-09,Tablet,South,8,932.93,7463.44,May,Tuesday
2023-09-24,Phone,South,8,1992.9,15943.2,September,Sunday
2023-05-31,Phone,South,6,535.43,3212.58,May,Wednesday
2023-10-25,Tablet,East,7,1139.06,7973.42,October,Wednesday
2023-04-09,Monitor,West,6,1374.28,8245.68,April,Sunday
2023-09-20,Monitor,South,9,1431.65,12884.85,September,Wednesday
2023-09-09,Keyboard,South,3,487.65,1462.9499999999998,September,Saturday
2023-05-24,Keyboard,North,3,1342.59,4027.7699999999995,May,Wednesday
2023-12-12,Laptop,East,3,1654.9,4964.700000000001,December,Tuesday
2023-04-22,Phone,South,3,195.04,585.12,April,Saturday
2023-03-01,Keyboard,East,9,1831.89,16487.010000000002,March,Wednesday
2023-01-02,Monitor,South,4,156.06,624.24,January,Monday
2023-10-31,Tablet,West,7,776.34,5434.38,October,Tuesday
2023-09-11,Monitor,West,9,130.05,1170.45,September,Monday
2023-05-20,Phone,South,7,246.58,1726.0600000000002,May,Saturday
2023-02-06,Monitor,West,9,1831.22,16480.98,February,Monday
2023-06-09,Laptop,South,3,774.24,2322.7200000000003,June,Friday
2023-01-09,Phone,West,4,907.07,3628.28,January,Monday
2023-08-21,Tablet,North,8,509.15,4073.2,August,Monday
2023-04-09,Laptop,North,6,1234.48,7406.88,April,Sunday
2023-05-27,Phone,North,5,1230.13,6150.650000000001,May,Saturday
2023-10-31,Tablet,East,4,807.18,3228.72,October,Tuesday
2023-07-27,Laptop,East,8,732.77,5862.16,July,Thursday
2023-05-11,Laptop,North,1,1781.43,1781.43,May,Thursday
2023-06-01,Phone,East,9,828.24,7454.16,June,Thursday
2023-02-23,Keyboard,West,1,1037.65,1037.65,February,Thursday
2023-04-30,Laptop,South,8,638.28,5106.24,April,Sunday
2023-06-10,Laptop,South,4,1594.86,6379.44,June,Saturday
2023-04-26,Tablet,South,9,855.15,7696.349999999999,April,Wednesday
2023-03-16,Monitor,North,5,1075.86,5379.299999999999,March,Thursday
2023-04-23,Phone,East,3,581.38,1744.1399999999999,April,Sunday
2023-04-14,Phone,West,9,1976.55,17788.95,April,Friday
2023-12-06,Keyboard,West,9,653.84,5884.56,December,Wednesday
2023-09-11,Keyboard,North,4,1564.41,6257.64,September,Monday
2023-08-15,Phone,West,4,912.24,3648.96,August,Tuesday
2023-04-22,Keyboard,West,8,491.81,3934.48,April,Saturday
2023-04-09,Tablet,West,2,1619.47,3238.94,April,Sunday
2023-06-02,Phone,West,9,733.85,6604.650000000001,June,Friday
2023-12-15,Keyboard,East,6,1743.87,10463.22,December,Friday
2023-12-04,Phone,West,9,1838.99,16550.91,December,Monday
2023-07-13,Monitor,South,8,1733.67,13869.36,July,Thursday
2023-11-06,Laptop,North,7,166.52,1165.64,November,Monday
2023-06-12,Phone,East,1,1596.01,1596.01,June,Monday
2023-07-27,Laptop,West,3,881.54,2644.62,July,Thursday
2023-06-18,Keyboard,East,2,1760.07,3520.14,June,Sunday
2023-06-10,Laptop,West,5,1312.11,6560.549999999999,June,Saturday
2023-03-09,Phone,South,5,1683.92,8419.6,March,Thursday
